,Trial,Left/Right,Category,Response,ResponseTime(ms),Focus
253,254,L,AFS,AFS,525.48876953125,False
254,255,L,HAS,HAS,648.6845703125,False
255,256,L,AFS,AFS,555.126708984375,False
256,257,L,AFS,AFS,607.71435546875,False
257,258,L,AFS,AFS,518.055419921875,False
258,259,R,AFS,HAS,619.0888671875,False
259,260,L,HAS,HAS,611.008056640625,False
260,261,R,HAS,HAS,646.922119140625,False
261,262,L,HAS,HAS,674.548583984375,False
262,263,L,HAS,HAS,612.854736328125,False
263,264,L,AFS,AFS,590.663818359375,False
264,265,L,AFS,AFS,904.439697265625,False
265,266,R,HAS,HAS,534.3916015625,False
266,267,R,AFS,AFS,899.033935546875,False
267,268,L,HAS,HAS,745.83251953125,False
268,269,R,HAS,HAS,599.96630859375,False
269,270,R,AFS,AFS,637.783203125,False
270,271,L,AFS,AFS,681.108642578125,False
271,272,L,HAS,HAS,693.026611328125,False
